標準索引,standard_純單方藥組成,匹配LLM索引,LLMmodel_純單方藥組成,標準藥材數,LLM萃取藥材數,交集數,Jaccard_Similarity,Precision,Recall,F1_Score
10,"[""秦芁"",""菖蒲"",""桂"",""當歸"",""蔓荊實"",""人參附子"",""黃芩"",""甘草"",""逺志"",""防風"",""龍骨"",""赤石脂"",""白茯苓"",""白芍藥"",""芎藭"",""防巳""]",78,"['秦芁', '菖蒲', '桂', '當歸', '蔓荊實', '人參', '附子', '黃芩', '甘草', '逺志', '防風', '龍骨', '赤石脂', '白茯苓', '白芍藥', '芎藭', '防巳']",16,17,15,0.833333333333333,0.882352941176471,0.9375,0.909090909090909
11,"[""木瓜"",""麒麟竭"",""沒藥"",""虎脛骨"",""木香"",""自然銅"",""楓香脂"",""骨碎補"",""當歸"",""甜𤓰子"",""敗亀"",""桂"",""安息香"",""乳香"",""地龍""]",86,"['五加皮', '枳刺', '豬椒根皮', '丹砂', '桂', '當歸', '甘草', '天雄', '秦椒', '白蘚皮', '木通', '芎藭', '甘薑', '薏苡仁', '大麻仁']",15,15,2,0.0714285714285714,0.133333333333333,0.133333333333333,0.133333333333333
12,"[""鹿茸"",""乾地黃"",""乾漆""]",80,"['鹿茸', '天麻', '附子', '巴㦸天', '菖蒲', '石斛', '萆桂', '乾蠍', '牛膝', '天雄', '獨活', '丹參', '當歸', '杜仲', '肉蓯蓉', '磁石']",3,16,1,0.0555555555555556,0.0625,0.333333333333333,0.105263157894737
13,"[""木香"",""白朮"",""桂"",""蕪荑"",""髙良薑"",""訶梨勒"",""乾薑"",""附子"",""肉豆蔲"",""甘草"",""厚樸""]",81,"['木香', '白術', '桂', '蕪荑', '髙良薑', '訶梨勒', '乾薑', '附子', '肉豆蔲', '甘草', '厚樸']",11,11,10,0.833333333333333,0.909090909090909,0.909090909090909,0.909090909090909
14,"[""防風"",""白茯苓"",""細辛"",""附子"",""白朮"",""桂"",""澤瀉"",""甘草"",""紫苑"",""芍藥"",""牛膝"",""括蔞根"",""熟地黃"",""山茱茰"",""獨活"",""半夏"",""山芋"",""黃耆""]",82,"['白附子', '乾蠍', '防風', '天麻', '黃耆', '萆獨活', '丹參', '當歸', '肉蓯蓉', '海桐皮', '仙靈脾', '補骨脂', '白花蛇', '桂', '安息香', '牛膝', '雄黃', '麝香']",18,18,4,0.125,0.222222222222222,0.222222222222222,0.222222222222222
15,"[""防風"",""麻黃"",""石膏"",""黃芩"",""芎藭"",""當歸"",""桂"",""杏仁"",""熟地黃"",""甘草""]",83,"['防風', '麻黃', '石膏', '黃芩', '芎藭', '當歸', '桂', '杏仁', '熟地黃', '甘草']",10,10,10,1,1,1,1
16,[],8,,0,0,0,1,1,1,1
17,"[""五加皮"",""枳刺"",""豬椒根皮"",""丹砂"",""桂"",""當歸"",""甘草"",""天雄"",""秦椒"",""白蘚皮"",""木通"",""芎藭"",""甘薑"",""薏苡仁"",""大麻仁""]",85,"['五加皮', '枳刺', '豬椒根皮', '丹砂', '桂', '當歸', '甘草', '天雄', '秦椒', '白蘚皮', '木通', '芎藭', '甘薑', '薏苡仁', '大麻仁']",15,15,15,1,1,1,1
18,"[""杏仁"",""訶梨勒"",""附子"",""乾姜"",""厚樸"",""甘草"",""枳實"",""赤茯苓"",""當歸""]",87,"['杏仁', '訶梨勒', '附子', '乾薑', '厚樸', '甘草', '枳實', '赤茯苓', '當歸']",9,9,8,0.8,0.888888888888889,0.888888888888889,0.888888888888889
19,"[""石斛"",""丹參"",""五加皮"",""側子"",""秦芃"",""杜仲"",""山茱茰"",""牛膝"",""桂心"",""乾薑"",""羌活"",""芎藭"",""橘皮"",""黃耆"",""白前"",""蜀椒"",""茵芋"",""當歸"",""薏苡"",""防風"",""鍾乳""]",88,"['石斛', '丹參', '五加皮', '側子', '秦芃', '杜仲', '山茱茰', '牛膝', '桂心', '乾薑', '羌活', '芎藭', '橘皮', '黃耆', '白前', '蜀椒', '茵芋', '當歸', '薏苡', '防風', '鍾乳']",21,21,21,1,1,1,1
20,"[""吳茱茰"",""桂心"",""髙良薑"",""赤茯苓"",""陳橘皮"",""當歸"",""梹榔""]",89,"['吳茱萸', '桂心', '髙良薑', '赤茯苓', '陳橘皮', '當歸', '梹榔']",7,7,6,0.75,0.857142857142857,0.857142857142857,0.857142857142857
21,"[""牛膝"",""獨活"",""防風"",""當歸"",""桂"",""白茯苓"",""羚羊角屑"",""酸棗仁"",""附子""]",90,"['牛膝', '獨活', '防風', '當歸', '桂', '白茯苓', '羚羊角屑', '酸棗仁', '附子']",9,9,9,1,1,1,1
22,"[""桑根白皮"",""陳皮"",""大腹皮"",""甘草"",""桂心"",""赤茯苓"",""木通"",""紫蘇子""]",91,"['桑根白皮', '陳皮', '大腹皮', '甘草', '桂心', '赤茯苓', '木通', '紫蘇子']",8,8,8,1,1,1,1
23,"[""杏仁"",""赤茯苓"",""梹榔"",""青橘皮"",""甘草""]",92,"['赤茯苓', '梹榔', '青橘皮', '甘草', '赤剉']",5,5,4,0.666666666666667,0.8,0.8,0.8
24,"[""黃耆"",""人參"",""川當歸"",""川芎"",""赤芍藥粉草"",""地骨皮"",""五加皮"",""忍冬葉"",""橘紅"",""乳香"",""沒藥""]",93,"['黃耆', '人參', '川當歸', '川芎', '赤芍藥粉草', '地骨皮', '五加皮', '忍冬葉', '橘紅', '乳香', '沒藥']",11,11,11,1,1,1,1
25,"[""金銀花"",""黃耆"",""防風"",""川烏"",""羗活"",""大黃赤芍藥"",""薄荷"",""連翹"",""麻黃"",""當歸"",""石膏黃芩"",""桔梗"",""白朮"",""白茯苓"",""荊芥"",""甘草"",""山梔子"",""人參"",""滑石"",""芒硝""]",94,"['金銀花', '黃耆', '防風', '川烏', '羗活', '大黃', '赤芍藥', '薄荷', '連翹', '麻黃', '當歸', '石膏', '黃芩', '桔梗', '白術', '白茯苓', '荊芥', '甘草', '山梔子', '人參', '滑石', '芒硝']",20,22,17,0.68,0.772727272727273,0.85,0.80952380952381
26,"[""升麻"",""黃連"",""大黃"",""芎藭"",""黃芩"",""芒硝"",""當歸"",""甘草"",""羚羊角""]",95,"['升麻', '黃連', '大黃', '芎藭', '黃芩', '芒硝', '當歸', '甘草', '羚羊角']",9,9,9,1,1,1,1
27,"[""五靈散"",""川烏頭"",""白乾薑"",""井鹽"",""全蠍"",""釣靈根"",""無心草""]",38,['穿結藥'],7,1,0,0,0,0,0
28,"[""白麥飯石"",""鹿角灰"",""白歛""]",97,"['白麥飯石', '鹿角', '白歛']",3,3,2,0.5,0.666666666666667,0.666666666666667,0.666666666666667
29,"[""生黃耆"",""當歸"",""肉桂"",""木香"",""沉香"",""乳香""]",98,"['生黃耆', '當歸', '肉桂', '木香', '沉香', '乳香']",6,6,6,1,1,1,1
30,"[""蟾酥"",""輕粉"",""乳香"",""明信"",""雄黃"",""巴豆"",""麝香"",""寒食麫""]",99,"['麝香', '蟾酥', '輕粉', '乳香', '明信', '雄黃', '巴豆', '麝香', '寒食麫']",8,8,8,1,1,1,1
31,"[""木占斯"",""人參"",""乾姜"",""細辛"",""桂心厚樸"",""敗醤"",""防風"",""栝蔞根"",""桔梗"",""甘草""]",100,"['人參', '乾薑', '細辛', '桂心', '厚樸', '敗醤', '防風', '栝蔞根', '桔梗', '甘草']",10,10,7,0.538461538461538,0.7,0.7,0.7
32,"[""大黃"",""漏蘆"",""白芨"",""黃芩"",""麻黃"",""枳殻"",""升麻"",""白歛"",""芍藥"",""甘草""]",42,"['大黃', '大豆', '商陸', '牛膝']",10,4,1,0.0769230769230769,0.25,0.1,0.142857142857143
33,"[""青木香"",""母丁香"",""黃熟沉香"",""當門麝香乳香"",""川升麻"",""桑寄生"",""川獨活"",""木通"",""牛舌大黃"",""連翹""]",84,"['桑螵蛸', '犀角', '麥門冬', '五加皮', '杜仲', '木通', '桔梗', '赤芍藥']",10,8,1,0.0588235294117647,0.125,0.1,0.111111111111111
34,"[""菉豆粉"",""乳香""]",136,"['苽蔞', '綿蓍', '粉草', '乳香', '菉豆粉']",2,5,2,0.4,0.4,1,0.571428571428572
35,"[""透明硫黃"",""喬麥麫""]",103,"['透明硫黃', '喬麥麫']",2,2,2,1,1,1,1
36,"[""甘草"",""皂角針刺""]",104,"['甘草', '皂角針刺']",2,2,2,1,1,1,1
37,"[""車鰲"",""輕粉"",""甘草"",""大黃""]",105,"['車鰲', '輕粉', '甘草', '大黃']",4,4,4,1,1,1,1
38,"[""黃耆"",""當歸"",""白歛"",""敗醤"",""甘草"",""黃芩"",""川芎"",""赤芍藥""]",106,"['黃耆', '當歸', '白歛', '敗醤', '甘草', '黃芩', '川芎', '赤芍藥']",8,8,8,1,1,1,1
39,"[""天南星"",""天花粉"",""芙蓉葉""]",107,"['天南星', '天花粉', '芙蓉葉']",3,3,3,1,1,1,1
40,"[""乾牛糞"",""雞子白""]",10,"['槐根白皮', '苦陳根', '椿根白皮', '天南星', '半夏', '葳靈仙', '寒食麵']",2,7,0,0,0,0,0
41,"[""括蔞根"",""赤小豆""]",108,"['括蔞根', '赤小豆']",2,2,2,1,1,1,1
42,"[""大橫紋粉草""]",109,"['大橫紋粉草', '河水', '銀石器', '無灰酒', '曽復燥藥丹劑', '山泉溪澗長流水', '醇酒']",1,7,1,0.142857142857143,0.142857142857143,1,0.25
43,"[""忍冬藤"",""大甘草節""]",110,"['忍冬藤', '大甘草節']",2,2,2,1,1,1,1
44,"[""沉香"",""乳香"",""丁香"",""木香"",""藿香""]",140,"['犀角', '蛭', '白術', '黃耆', '木香', '當歸']",5,6,1,0.1,0.166666666666667,0.2,0.181818181818182
45,"[""當歸"",""芎藭"",""黃耆"",""厚樸"",""桔梗"",""防風"",""甘草"",""官桂"",""人參"",""白芷"",""芍藥""]",113,"['黃耆', '白茯苓', '桂', '麥門冬', '當歸', '人參', '甘草', '逺志', '五味子']",11,9,4,0.25,0.444444444444444,0.363636363636364,0.4
46,"[""當歸"",""芎藭"",""黃耆"",""厚樸"",""桔梗"",""防風"",""甘草"",""官桂"",""人參"",""白芷"",""大黃""]",112,"['黃耆', '大黃', '截缾', '當歸']",11,4,3,0.25,0.75,0.272727272727273,0.4
47,"[""石膏"",""蔥白"",""䜴"",""生薑"",""米""]",111,"['石膏', '蔥白', '䜴', '生薑', '米']",5,5,5,1,1,1,1
48,"[""白歛"",""烏頭"",""黃芩""]",114,"['烏頭', '黃芩']",3,2,2,0.666666666666667,1,0.666666666666667,0.8
49,"[""漢防己"",""麥門冬"",""桑根白皮"",""赤茯苓"",""枳殻"",""地骨皮"",""前胡"",""黃茋"",""甘草""]",115,"['漢防己', '麥門冬', '桑根白皮', '赤茯苓', '枳殻', '地骨皮', '前胡', '黃茋', '甘草']",9,9,9,1,1,1,1
50,"[""黃耆"",""川升麻"",""川大黃"",""黃芩"",""逺志"",""赤茯苓"",""赤芍藥"",""生乾地黃"",""當歸"",""麥門冬"",""人參"",""甘草""]",116,"['川升麻', '川大黃', '黃芩', '赤茯苓', '赤芍藥', '乾地黃', '當歸', '麥門冬', '人參', '甘草']",12,10,9,0.692307692307692,0.9,0.75,0.818181818181818
51,"[""凝水石"",""黃栢"",""黃茋"",""黃連"",""大黃"",""石膏"",""梔子仁"",""白歛""]",117,"['黃栢', '黃連', '大黃', '石膏', '梔子仁', '白歛']",8,6,6,0.75,1,0.75,0.857142857142857
52,"[""生地黃""]",76,"['細辛', '天麻', '安息香']",1,3,0,0,0,0,0
53,"[""黃茋"",""防風"",""川升麻"",""羚羊角屑"",""芎藭"",""甘草"",""人參"",""地骨皮"",""白茯苓"",""石膏""]",119,"['黃茋', '防風', '川升麻', '羚羊角屑', '芎藭', '甘草', '人參', '地骨皮', '白茯苓', '石膏']",10,10,10,1,1,1,1
54,[],17,,0,0,0,1,1,1,1
55,"[""薏苡仁"",""豬胰""]",121,['薏苡仁'],2,1,1,0.5,1,0.5,0.666666666666667
56,"[""馬蹄灰"",""鷄子白""]",122,"['馬蹄灰', '雞子白']",2,2,1,0.333333333333333,0.5,0.5,0.5
57,"[""括根"",""赤小豆""]",123,"['括根', '赤小豆']",2,2,2,1,1,1,1
58,"[""檞皮""]",124,"['檞皮', '檞葉']",1,2,1,0.5,0.5,1,0.666666666666667
59,"[""槐子"",""慎火草""]",125,"['槐子', '慎火草']",2,2,2,1,1,1,1
60,"[""牛黃"",""麝香"",""木香"",""丁香"",""蘹香子"",""乳香"",""硃砂"",""雄黃"",""黃丹"",""黃蘗"",""苦參"",""膩粉""]",126,"['牛黃', '麝香', '木香', '丁香', '蘹香子', '乳香', '硃砂', '雄黃', '黃丹', '黃蘖', '苦參', '膩粉']",12,12,11,0.846153846153846,0.916666666666667,0.916666666666667,0.916666666666667
61,"[""𤣥參"",""紫葛"",""川大黃"",""木香"",""卷柏"",""川芒硝"",""黃藥"",""紫檀香""]",127,"['紫葛', '川大黃', '木香', '卷柏', '川芒硝', '黃藥', '紫檀香']",8,7,7,0.875,1,0.875,0.933333333333333
62,"[""白歛"",""黃芩"",""赤芍藥"",""丹參""]",128,"['黃芩', '赤芍藥', '丹參']",4,3,3,0.75,1,0.75,0.857142857142857
63,"[""歸稍"",""歸身"",""防風稍"",""風身"",""蘇木"",""黃栢"",""甘草"",""全蠍"",""陳皮"",""羗活"",""人參"",""黃芩"",""防己"",""連翹"",""槁本"",""黃耆"",""桔梗"",""澤瀉"",""知母"",""生地黃"",""芍藥""]",129,"['歸稍', '歸身', '防風稍', '風身', '蘇木', '黃栢', '甘草', '全蠍', '陳皮', '羗活', '人參', '黃芩', '防己', '連翹', '槁本', '黃耆', '桔梗', '澤瀉', '知母', '生地黃', '芍藥']",21,21,21,1,1,1,1
64,"[""紫背大車螯"",""甘草"",""輕粉""]",130,"['紫背大車螯', '甘草', '黃土', '蒜']",3,4,2,0.4,0.5,0.666666666666667,0.571428571428572
65,"[""漏蘆"",""白歛"",""黃芩"",""麻黃"",""知母"",""枳實"",""川升麻"",""犀角屑"",""赤芍藥"",""川大黃"",""甘草""]",131,"['白歛', '黃芩', '麻黃', '知母', '枳實', '川升麻', '犀角屑', '赤芍藥', '川大黃', '甘草']",11,10,10,0.909090909090909,1,0.909090909090909,0.952380952380952
66,"[""金星鳳尾草"",""生粉草""]",132,"['金星鳳尾草', '生粉草']",2,2,2,1,1,1,1
67,"[""連翹"",""黃芩"",""乾藍"",""大黃"",""蜀升麻""]",133,"['連翹', '黃芩', '乾藍', '大黃']",5,4,4,0.8,1,0.8,0.888888888888889
68,"[""生乾地黃"",""黃耆"",""甘草"",""麥門冬"",""赤芍藥"",""人參"",""黃芩"",""石膏"",""當歸"",""半夏""]",134,"['黃耆', '地黃', '甘草', '麥門冬', '赤芍藥', '人參', '黃芩', '石膏', '當歸', '半夏', '川芎', '生薑']",10,12,9,0.692307692307692,0.75,0.9,0.818181818181818
69,"[""秦芃""]",135,['秦芃'],1,1,1,1,1,1,1
70,"[""草烏尖"",""狼毒""]",26,,2,0,0,0,0,0,0
71,"[""南星"",""雄黃"",""白礬""]",138,"['南星', '雄黃', '白礬']",3,3,3,1,1,1,1
72,"[""黃蓍"",""人參"",""桂心"",""當歸"",""赤芍藥"",""甘草"",""生亁地黃""]",139,"['黃蓍', '人參', '桂心', '當歸', '赤芍藥', '甘草', '生亁地黃']",7,7,7,1,1,1,1
73,[],21,,0,0,0,1,1,1,1
74,"[""草烏尖"",""狼毒""]",25,['乾柿燒灰'],2,1,0,0,0,0,0
75,"[""亁薑"",""附子"",""虎牙"",""當歸"",""防風"",""王不留行"",""甘草"",""桂"",""白茯苓""]",142,"['亁薑', '附子', '虎牙', '當歸', '防風', '王不留行', '甘草', '桂', '白茯苓']",9,9,9,1,1,1,1
76,"[""好染坯"",""血竭"",""白礬""]",143,"['血竭', '白礬', '桑漿', '鯽魚', '酒', '麫毒物']",3,6,2,0.285714285714286,0.333333333333333,0.666666666666667,0.444444444444444
77,"[""金蜈蚣"",""膽礬"",""銅緑"",""麝香"",""膩粉""]",144,"['金蜈蚣', '膽礬', '銅綠', '麝香', '膩粉']",5,5,4,0.666666666666667,0.8,0.8,0.8
78,"[""銅緑"",""輕粉"",""片腦"",""麝香"",""粉霜"",""滑石""]",145,['滑石'],6,1,1,0.166666666666667,1,0.166666666666667,0.285714285714286
79,"[""天南星"",""半夏"",""五倍子"",""鷄內金"",""當歸"",""南木香"",""厚黃蘗"",""降真香節"",""白歛"",""白芨""]",146,"['天南星', '半夏', '五倍子', '鷄內金', '當歸', '南木香', '厚黃蘗', '降真香節', '白歛', '白芨']",10,10,10,1,1,1,1
80,"[""黃蜀葵花"",""乳香"",""不灰木"",""白歛""]",147,"['黃蜀葵花', '乳香', '不灰木', '白歛']",4,4,4,1,1,1,1
81,"[""連翹"",""獨活"",""川升麻"",""射干"",""木通"",""桑寄生"",""赤茯苓"",""甘草"",""大黃"",""木香"",""乳香"",""沉香""]",148,"['連翹', '獨活', '川升麻', '射干', '木通', '桑寄生', '赤茯苓', '甘草', '大黃', '木香', '乳香', '沉香']",12,12,12,1,1,1,1
82,"[""降真香"",""木香"",""騏驎竭"",""白芷"",""白歛"",""黃連"",""黃蘗""]",149,"['降真香', '木香', '騏驎竭', '白芷', '白歛', '黃連', '黃蘗']",7,7,7,1,1,1,1
83,"[""陳橘皮"",""芒硝"",""紫蘇葉"",""白朮"",""甘草"",""桂"",""石膏"",""杏仁""]",0,"['陳橘皮', '芒硝', '紫蘇葉', '白朮', '甘草', '桂', '石膏', '杏仁']",8,8,8,1,1,1,1
84,"[""酸石榴皮"",""黃連"",""地榆皮""]",1,"['酸石榴皮', '黃連', '地榆皮']",3,3,3,1,1,1,1
85,"[""沈香"",""黃耆"",""枳殻"",""熟乾地黃"",""麝香"",""乳香"",""木香"",""藿香"",""㯽榔"",""當歸"",""白茯苓"",""白蒺藜"",""川大黃"",""白芍"",""卷柏"",""芎藭""]",2,"['黃耆', '枳殻', '熟乾地黃', '麝香', '乳香', '木香', '藿香', '㯽榔', '當歸', '白茯苓', '白蒺藜', '川大黃', '白芍', '卷柏', '芎藭']",16,15,15,0.9375,1,0.9375,0.967741935483871
86,"[""黃連"",""雞冠花"",""貫仲"",""大黃"",""烏梅"",""甘草"",""枳殻"",""荊芥""]",96,"['大黃', '山梔子', '金銀藤', '蠣殻']",8,4,1,0.0909090909090909,0.25,0.125,0.166666666666667
87,"[""蒲黃"",""白石脂"",""熟乾地黃"",""當歸"",""白芷"",""甘草"",""黃連"",""芎藭""]",4,"['蒲黃', '白石脂', '熟乾地黃', '當歸', '白芷', '甘草', '黃連', '芎藭']",8,8,8,1,1,1,1
88,"[""礬石灰"",""硫黃"",""黃連"",""乳香"",""蠟""]",5,"['礬石灰', '硫黃', '黃連', '乳香', '蠟']",5,5,5,1,1,1,1
89,"[""白茯苓"",""麻黃"",""黃耆"",""大青"",""桂"",""細辛"",""杏仁"",""石膏"",""丹參"",""五味子"",""陳橘皮"",""甘草"",""貝母"",""芎藭"",""枳殻""]",6,"['白茯苓', '麻黃', '黃耆', '大青', '桂', '細辛', '杏仁', '石膏', '丹參', '五味子', '陳橘皮', '甘草', '貝母芎藭', '枳殻']",15,14,13,0.8125,0.928571428571429,0.866666666666667,0.896551724137931
90,"[""枳殻"",""椿木皮"",""雷丸"",""天麻"",""白芨"",""豬牙皁角"",""赤石脂""]",7,"['枳殻', '椿木皮', '天麻', '白芨', '豬牙皁角', '赤石脂']",7,6,6,0.857142857142857,1,0.857142857142857,0.923076923076923
91,"[""生乾地黃"",""黃芩"",""赤芍藥"",""黃連"",""蒲黃"",""地骨皮""]",9,"['生地黃', '黃芩', '赤芍藥', '黃連', '蒲黃', '地骨皮']",6,6,5,0.714285714285714,0.833333333333333,0.833333333333333,0.833333333333333
92,"[""黃連"",""防風"",""槐角"",""荊芥"",""烏梅"",""扁栢葉"",""枳殻""]",57,"['枳殻', '生薑汁調五苓散如膏入新水研散略煎吞', '黃連', '阿膠', '芎藭', '烏梅肉', '艾葉']",7,7,2,0.166666666666667,0.285714285714286,0.285714285714286,0.285714285714286
93,"[""𦤀椿樹白皮"",""乾薑"",""甘草"",""雞冠花"",""附子"",""槐蛾""]",11,"['椿樹白皮', '乾薑', '甘草', '雞冠花', '附子', '槐蛾']",6,6,5,0.714285714285714,0.833333333333333,0.833333333333333,0.833333333333333
94,"[""貫仲"",""槐花"",""地榆"",""黃連"",""甘草""]",12,"['貫仲', '槐花', '地榆', '黃連', '甘草']",5,5,5,1,1,1,1
95,"[""木香"",""白芷"",""乾蠍"",""阿魏"",""當歸"",""漏蘆""]",13,"['木香', '白芷', '乾蠍', '阿魏', '當歸', '漏蘆']",6,6,6,1,1,1,1
96,"[""五倍子"",""槐花"",""百藥煎""]",14,"['五倍子', '槐花', '百藥煎']",3,3,3,1,1,1,1
97,"[""訶梨勒"",""附子"",""陳橘皮"",""當歸"",""肉豆蔻"",""桔梗"",""木香"",""吳茱茰"",""甘草""]",15,"[""訶梨勒"", ""附子"", ""陳橘皮"", ""當歸"", ""肉豆蔻"", ""桔梗"", ""木香"", ""吳茱萸"", ""甘草""]",9,9,8,0.8,0.888888888888889,0.888888888888889,0.888888888888889
98,"[""黃芩"",""黃柏"",""黃連"",""生乾地黃"",""地榆"",""犀角屑""]",16,"['黃芩', '黃柏', '黃連', '生乾地黃', '地榆', '犀角屑']",6,6,6,1,1,1,1
99,"[""黃連"",""茱萸"",""陳米""]",58,"['蛇床子', '黃連', '豆醬']",3,3,1,0.2,0.333333333333333,0.333333333333333,0.333333333333333
100,"[""附子"",""石硫黃"",""雞冠花"",""鯪鯉甲"",""皁莢刺"",""蝟皮""]",18,"['附子', '石硫黃', '雞冠花', '鯪鯉甲', '皁莢刺', '蝟皮']",6,6,6,1,1,1,1
101,"[""草錦"",""蓮蓬殻"",""敗棕"",""白茅莤"",""新錦""]",19,"['草錦', '蓮蓬殻', '敗棕', '白茅莤', '新錦']",5,5,5,1,1,1,1
102,"[""黃耆"",""槐實"",""小蘇"",""桑耳"",""乾地黃"",""當歸"",""黃連"",""白芷"",""草豆蔲"",""芎藭"",""赤石脂"",""天雄"",""龍骨"",""黃芩"",""紅藍花"",""訶梨勒皮"",""延胡索"",""厚朴"",""桂""]",20,"['黃耆', '槐實', '小蘇', '桑耳', '乾地黃', '當歸', '黃連', '白芷', '草豆蔲', '芎藭', '赤石脂', '天雄', '龍骨', '黃芩', '紅藍花', '訶梨勒皮', '延胡索', '厚樸', '桂']",19,19,18,0.9,0.947368421052632,0.947368421052632,0.947368421052632
103,"[""犀角"",""黃連""]",3,"['黃連', '貫仲']",2,2,1,0.333333333333333,0.5,0.5,0.5
104,"[""屋龍尾"",""伏虎肝"",""黑"",""當歸"",""皂角子仁""]",22,"['阿膠', '當歸', '烏賊魚骨', '白芍藥', '劉寄奴']",5,5,1,0.111111111111111,0.2,0.2,0.2
105,"[""嫩栢葉"",""陳槐花""]",23,"['嫩栢葉', '陳槐花']",2,2,2,1,1,1,1
106,"[""越桃"",""槐花"",""青州棗"",""乾薑""]",24,"['越桃', '槐花', '青州棗', '乾薑']",4,4,4,1,1,1,1
107,"[""乾柿""]",31,"['陳槐花', '五倍子', '烏梅肉', '空心飯飲']",1,4,0,0,0,0,0
108,"[""槐花"",""栢葉"",""荊芥穗"",""枳殻""]",39,['末與牽牛子末'],4,1,0,0,0,0,0
109,"[""地榆"",""桑耳"",""甘草"",""赤芍藥"",""熟乾地黃"",""伏龍肝"",""艾葉"",""黃耆""]",27,"['地榆', '桑耳', '甘草', '赤芍藥', '熟乾地黃', '伏龍肝', '艾葉', '黃耆']",8,8,8,1,1,1,1
110,"[""川烏頭"",""生薑"",""黑豆""]",28,"['川烏頭', '生薑', '黑豆']",3,3,3,1,1,1,1
111,"[""枳殻"",""葳靈仙"",""陳皮"",""續斷"",""生乾地黃"",""連翹"",""槐實"",""附子"",""乾薑"",""白礬"",""人參"",""羌活"",""地骨皮"",""何首烏""]",29,"['枳殻', '葳靈仙', '陳皮', '續斷', '生乾地黃', '連翹', '槐實', '附子', '乾薑', '白礬', '人參', '羌活', '地骨皮', '何首烏']",14,14,14,1,1,1,1
112,"[""生地黃"",""小薊"",""沙糖"",""地榆根"",""阿膠"",""側栢""]",30,"['生地黃', '小薊', '沙糖', '地榆根', '阿膠', '側柏']",6,6,5,0.714285714285714,0.833333333333333,0.833333333333333,0.833333333333333
